event_id,ticker,institution_name,institution_id,institution_type,event_type,event_date_time_utc,event_date_time_local,event_date,event_time_local,event_headline,webcast_link,contact_info,fiscal_year,fiscal_period,data_fetched_timestamp
EVT011,MS-US,Morgan Stanley,30,US_Banks,Conference,2025-11-18T16:00:00Z,2025-11-18T11:00:00-05:00,2025-11-18,11:00 EST,Barclays Global Financial Services Conference,https://example.com/conference/barclays,,2025,,2025-10-21T12:00:00Z
EVT012,RY-CA,Royal Bank of Canada,1,Canadian_Banks,AnalystsInvestorsMeeting,2025-12-12T14:00:00Z,2025-12-12T09:00:00-05:00,2025-12-12,09:00 EST,RBC Capital Markets Conference,https://example.com/conference/rbc-capital,,2025,,2025-10-21T12:00:00Z
EVT013,TD-CA,Toronto-Dominion Bank,3,Canadian_Banks,ProjectedEarningsRelease,2026-02-25T12:00:00Z,2026-02-25T07:00:00-05:00,2026-02-25,07:00 EST,Q1 2026 Earnings (Estimated),,,2026,Q1,2025-10-21T12:00:00Z
EVT014,BMO-CA,Bank of Montreal,2,Canadian_Banks,SpecialSituation,2025-11-20T15:00:00Z,2025-11-20T10:00:00-05:00,2025-11-20,10:00 EST,Strategic Update Call,https://example.com/special/bmo-update,Contact: Corporate Affairs,2025,,2025-10-21T12:00:00Z
EVT015,BNS-CA,Bank of Nova Scotia,4,Canadian_Banks,SalesRevenueCall,2025-12-01T13:30:00Z,2025-12-01T08:30:00-05:00,2025-12-01,08:30 EST,Monthly Sales Results Call,https://example.com/sales/bns-monthly,,2025,,2025-10-21T12:00:00Z
EVT016,JPM-US,JPMorgan Chase & Co.,25,US_Banks,Dividend,2025-10-25T14:00:00Z,2025-10-25T10:00:00-04:00,2025-10-25,10:00 EDT,Q4 2025 Dividend Declaration,,,2025,Q4,2025-10-21T12:00:00Z
EVT017,BAC-US,Bank of America Corporation,26,US_Banks,ShareholdersMeeting,2026-04-22T14:00:00Z,2026-04-22T10:00:00-04:00,2026-04-22,10:00 EDT,2026 Annual Meeting of Stockholders,https://example.com/agm/bac-2026,Contact: Corporate Secretary,2026,,2025-10-21T12:00:00Z
EVT018,WFC-US,Wells Fargo & Company,27,US_Banks,Earnings,2026-01-14T13:00:00Z,2026-01-14T08:00:00-05:00,2026-01-14,08:00 EST,Q4 2025 Earnings Conference Call,https://example.com/webcast/wfc-q4,Contact: Investor Relations,2025,Q4,2025-10-21T12:00:00Z
EVT019,GS-US,Goldman Sachs Group Inc.,29,US_Banks,Earnings,2026-01-15T12:30:00Z,2026-01-15T07:30:00-05:00,2026-01-15,07:30 EST,Q4 2025 Earnings Call,https://example.com/webcast/gs-q4,,2025,Q4,2025-10-21T12:00:00Z
EVT020,CM-CA,Canadian Imperial Bank of Commerce,5,Canadian_Banks,Earnings,2025-12-04T12:00:00Z,2025-12-04T07:00:00-05:00,2025-12-04,07:00 EST,Q4 2025 Earnings Release,https://example.com/webcast/cm-q4,Contact: Investor Relations | Email: ir@cibc.com,2025,Q4,2025-10-21T12:00:00Z
EVT021,RY-CA,Royal Bank of Canada,1,Canadian_Banks,ProjectedEarningsRelease,2025-11-27T13:00:00Z,2025-11-27T08:00:00-05:00,2025-11-27,08:00 EST,Q4 2025 Earnings (Estimated),,,2025,Q4,2025-10-21T12:00:00Z
EVT022,BMO-CA,Bank of Montreal,2,Canadian_Banks,ConfirmedEarningsRelease,2025-12-03T12:00:00Z,2025-12-03T07:00:00-05:00,2025-12-03,07:00 EST,Q4 2025 Earnings Release - Confirmed,,,2025,Q4,2025-10-21T12:00:00Z
EVT023,TD-CA,Toronto-Dominion Bank,3,Canadian_Banks,ProjectedEarningsRelease,2026-02-25T12:00:00Z,2026-02-25T07:00:00-05:00,2026-02-25,07:00 EST,Q1 2026 Earnings (Estimated),,,2026,Q1,2025-10-21T12:00:00Z
EVT024,TD-CA,Toronto-Dominion Bank,3,Canadian_Banks,ConfirmedEarningsRelease,2026-02-25T12:00:00Z,2026-02-25T07:00:00-05:00,2026-02-25,07:00 EST,Q1 2026 Earnings Release - Confirmed,,,2026,Q1,2025-10-21T12:00:00Z
EVT025,TD-CA,Toronto-Dominion Bank,3,Canadian_Banks,Earnings,2026-02-25T12:00:00Z,2026-02-25T07:00:00-05:00,2026-02-25,07:00 EST,Q1 2026 Earnings Conference Call,https://example.com/webcast/td-q1-2026,,2026,Q1,2025-10-21T12:00:00Z
EVT026,BNS-CA,Bank of Nova Scotia,4,Canadian_Banks,ConfirmedEarningsRelease,2025-11-25T12:00:00Z,2025-11-25T07:00:00-05:00,2025-11-25,07:00 EST,Q4 2025 Earnings Release - Confirmed,,,2025,Q4,2025-10-21T12:00:00Z
EVT027,BNS-CA,Bank of Nova Scotia,4,Canadian_Banks,Earnings,2025-11-26T13:00:00Z,2025-11-26T08:00:00-05:00,2025-11-26,08:00 EST,Q4 2025 Earnings Conference Call,https://example.com/webcast/bns-q4,,2025,Q4,2025-10-21T12:00:00Z
